	EN	FR	NL	DA	ES	UK	RU	DE	KO	FI	SE
stream_header	STREAM	FLUX	STREAM	STREAM	STREAM	СТРІЧКА	ЛЕНТА	NACHRICHTENSTROM	글흐름		
stream_marker_timetravel	Allow to sync to the past	Synchroniser vers le passé	Sta toe om het verleden te synchroniseren	Tillad at synkronisere til fortiden	Permite sincronizar el historial	Дозволити синхронізувати з минулим	Разрешить синхронизировать с прошлым	Erlauben, mit vergangenen Einträgen zu synchronisieren	글흐름 위치 동기화가 과거로 역행하도록 허용합니다.		
stream_markers	Stream markers	Marqueurs de flux	Stream markeerders	Stream markører	Marcadores de stream	Маркери стрічки	Маркеры ленты	Stream marker	글흐름 책갈피		
stream_markers_desc	Enable stream position syncing	Activer le synchronisation de la position du flux	Zet stream positie markering aan	Aktivér stream position synkronisering	Sincronizar la posición del stream	Включити синхронізацію позиції в стрічці	Включить синхронизацию позиции в ленте	Aktuelle Streamposition synchronisieren	글흐름 위치 동기화를 켭니다.		
subscribe	Subscribe	S\'abonner	Aboneeer	Abonnér	Suscribir	Підписатися	Подписаться	Abonnieren	구독하기		
subscribers	Subscribers	Abonnés	Abonnees	Abonnenter	Suscriptores	Підписані	Подписчики	Abonnenten	구독자		
swarm_option_1	Swarm protection off	Protection mentions de masse désactivée	Zwerm bescherming uit	Sværm beskyttelse fra	Desactivar antimenciones	Захист від натовпу і "чатика" вимкнений	Защита от толпы и "чатиков" выключена	Schwarmschutz aus	떼멘션 회피 끄기		
swarm_option_10	Posts with 10+ other mentions	Posts avec 10+ autres mentions	Post met 10+ antwoorden van anderen	Posts med 10+ andre mentions	Posts con más de 10 menciones	Повідомлення з 10+ згадками	Сообщения с 10+ упоминаниями	Beiträge mit 10+ anderen Erwähnungen	10인 이상을 멘션하는 글 숨김		
swarm_option_2	Posts with 2+ other mentions	Posts avec 2+ autres mentions	Post met 2+ antwoorden van anderen	Posts med 2+ andre mentions	Posts con más de 2 menciones	Повідомлення з 2+ згадками	Сообщения с 2+ упоминаниями	Beiträge mit 2+ anderen Erwähnungen	2인 이상을 멘션하는 글 숨김		
swarm_option_3	Posts with 3+ other mentions	Posts avec 3+ autres mentions	Post met 3+ antwoorden van anderen	Posts med 3+ andre mentions	Posts con más de 3 menciones	Повідомлення з 3+ згадками	Сообщения с 3+ упоминаниями	Beiträge mit 3+ anderen Erwähnungen	3인 이상을 멘션하는 글 숨김		
swarm_option_4	Posts with 4+ other mentions	Posts avec 4+ autres mentions	Post met 4+ antwoorden van anderen	Posts med 4+ andre mentions	Posts con más de 4 menciones	Повідомлення з 4+ згадками	Сообщения с 4+ упоминаниями	Beiträge mit 4+ anderen Erwähnungen	4인 이상을 멘션하는 글 숨김		
swarm_option_5	Posts with 5+ other mentions	Posts avec 5+ autres mentions	Post met 5+ antwoorden van anderen	Posts med 5+ andre mentions	Posts con más de 5 menciones	Повідомлення з 5+ згадками	Сообщения с 5+ упоминаниями	Beiträge mit 5+ anderen Erwähnungen	5인 이상을 멘션하는 글 숨김		
swarm_option_6	Posts with 6+ other mentions	Posts avec 6+ autres mentions	Post met 6+ antwoorden van anderen	Posts med 6+ andre mentions	Posts con más de 6 menciones	Повідомлення з 6+ згадками	Сообщения с 6+ упоминаниями	Beiträge mit 6+ anderen Erwähnungen	6인 이상을 멘션하는 글 숨김		
swarm_option_7	Posts with 7+ other mentions	Posts avec 7+ autres mentions	Post met 7+ antwoorden van anderen	Posts med 7+ andre mentions	Posts con más de 7 menciones	Повідомлення з 7+ згадками	Сообщения с 7+ упоминаниями	Beiträge mit 7+ anderen Erwähnungen	7인 이상을 멘션하는 글 숨김		
swarm_option_8	Posts with 8+ other mentions	Posts avec 8+ autres mentions	Post met 8+ antwoorden van anderen	Posts med 8+ andre mentions	Posts con más de 8 menciones	Повідомлення з 8+ згадками	Сообщения с 8+ упоминаниями	Beiträge mit 8+ anderen Erwähnungen	8인 이상을 멘션하는 글 숨김		
swarm_option_9	Posts with 9+ other mentions	Posts avec 9+ autres mentions	Post met 9+ antwoorden van anderen	Posts med 9+ andre mentions	Posts con más de 9 menciones	Повідомлення з 9+ згадками	Сообщения с 9+ упоминаниями	Beiträge mit 9+ anderen Erwähnungen	9인 이상을 멘션하는 글 숨김		
swarm_protection_desc	Don\'t show notifications for spammy mentions	Ne pas montrer les notifications pour les mentions abusives	Toon geen notificaties voor spammy antwoorden	Vis ikke notifikationer for spammende mentions	No notificar menciones masivas	Не відображати сповіщення для повідомлень з численними згадками	Не отображать уведомления для сообщений с многочисленными упоминаниями	Zeige keine Benachrichtigungen für Massen-Erwähnungen	샴푸 대첩 수준의 떼멘션은 알림을 띄우지 않습니다		
swarm_protection_title	Swarm protection	Protection mentions de masse	Zwerm bescherming	Sværm beskyttelse	Antimenciones masivas	Захист від натовпу і "чатика"	Защита от толпы и "чатиков"	Schwarmschutz	떼멘션 회피		
tap_to_compose	Tap to compose	Cliquer pour composer	Tap om op te stellen	Tryk for at skrive	Pulsa para escribir	Натисніть для створення	Нажмите для создания	Zum Verfassen tippen	탭하여 작성하기		
tap_to_retry	Tap to retry&#8230;	Cliquer pour réessayer&#8230;	Tik op opnieuw te proberen&#8230;	Tryk for at prøve igen&#8230;	Pulsa para reintentar&#8230;	Натисніть для повтору&#8230;	Нажмите для повтора&#8230;	Tippen um den Vorgang zu wiederholen ...	탭하여 다시 시도&#8230;		
thank_you	Thank you	Merci	Bedankt	Tak	Gracias	Спасибі	Спасибо	Danke	감사합니다		
theme	App Theme	Thème de l\'application	App Thema	App Tema	Tema de la app	Тема	Тема	App Theme	테마		
theme_desc	Choose the colour theme of the app	Sélectionner la couleur du thème de l\'application	Kies het kleur thema van de app	Vælg farve temaet for app\'en	Escoge el tema de color de la app	Вибрати колір теми додатки	Выбрать цвет темы приложения	Wähle die Farbe des Themes aus	앱의 색상 테마를 선택하세요!		
theme_header	THEME	THEME	THEMA	TEMA	TEMA	ТЕМА	ТЕМА	THEME	테마		
thread_stream_fail	Failed to load thread	Erreur lors du chargement de la conversation	Niet gelukt om draadje te laden	Kunne ikke loade tråd	No se pudo cargar el hilo	Помилка при завантаженні обговорення	Ошибка при загрузке обсуждения	Konnte Unterhaltung nicht laden	글타래를 불러오지 못했습니다.		
timeline	Timeline	Timeline	Tijdlijn	Timeline	Timeline	Стрічка	Лента	Timeline	타임라인		
timeline_break	Break timeline	Séparer la timeline	Break tijdlijn	Bryd timeline	Timeline desactualizado	Обрив стрічки	Разрыв ленты	Timeline unterbrechen	글흐름 쪼개기		
timeline_break_desc	Enable load missing posts button for outdated stream	Activer le bouton de chargement des posts dans les anciens fils	Zet laden ontbrekende posts knop voor oude streams aan	Aktivér hentning af manglende posts knap for forældede stream	Activar botones para cargar el resto de posts en streams desactualizados	Включити завантаження застарілих записів	Включить загрузку устаревших записей	Aktiviert Knopf für fehlende Beiträge im Stream	오래된 글흐름을 한 번에 다 끌어오지 않고 가장 신선한 일부만 잘라서 끌어옵니다. 언제든 나머지도 마저 불러올 수 있는 버튼도 표시합니다.		
timeline_stream_fail	Failed to load timeline	Erreur lors du chargement de la timeline	Niet gelukt om tijdlijn te laden	Kunne ikke loade timeline	No se pudo cargar la zona horaria	Помилка при завантаженні стрічки	Ошибка при загрузке ленты	Konnte Timeline nicht laden	안알랴줌		
timezone	Timezone	Fuseau horaire	Tijdzone	Tidszone	Zona horaria	Часовий пояс	Часовой пояс	Zeitzone	시간대		
too_many_follow	You can only follow a maximum of 40 users	Vous pouvez vous abonner à 40 utilisateurs maximum	Je kunt maximaal 40 gebruikers volgen	Du kan kun følge et maksimum på 40 brugere	Solo puedes seguir a un máximo de 40 usuarios	Ви можете бути підписані максимум на 40 користувачів	Вы можете быть подписаны максимум на 40 пользователей	Du kannst maximal 40 Benutzern folgen	최대 40명까지만 팔로우할 수 있어요.		
translate_post	Translate	Traduire	Vertaal	Oversæt	Traducir	Перекласти	Перевести	Übersetzen	번역		
trending	TRENDING HASHTAGS	TENDANCES	TRENDING HASHTAGS	TRENDING HASHTAGS	TENDENCIAS	Популярні теги	Популярные теги	TRENDS	인기 해시태그		
trending_load_failed	Loading trending failed	Erreur lors du chargement des tendances	Laden trends mislukt	Hentning af trends mislykkedes	La carga de tendencias falló	Помилка при завантаженні популярних запитів	Ошибка при загрузке популярных запросов	Trends laden fehlgeschlagen	인기 해시태그 로딩 실패		
type_post	Type in your post&#8230;	Écrivez votre message&#8230;	Type je post in&#8230;	Skriv dit post&#8230;	Escribe tu post&#8230;	Введіть вашу запис	Введите вашу запись	Schreibe deinen Post...	자, 여기에 글솜씨를 뽐내봅시다~		
unauthorized	You are not authorized to view this stream	Vous n\'êtes pas autorisé à visualiser ce fil	Je bent niet geautoriseerd om deze stream te bekijken	Du er ikke berettiget til at se dette stream	No estás autorizado para ver este stream	У вас немає доступу, щоб переглядати це	У вас нет доступа, чтобы просматривать это	Du bist nicht berechtigt, diesen Stream zu sehen	이 글흐름을 볼 권한이 없습니다.		
unblock	Unblock	Débloquer	Deblokkeer	Fjern blokering	Desbloquear	Розблокувати	Разблокировать	Entblocken	차단 취소		
unfollow	Unfollow	Se désabonner	Ontvolg	Følg ikke længere	Dejar de seguir	Перестати читати	Отписаться	Entfolgen	언팔로우		
unfollow_failed	Failed to unfollow user	Erreur lors du désabonnement	Gebruiker ontvolgen mislukt	Fjernelse af følgning mislykkedes	No se pudo dejar de seguir al usuario	Помилка при спробі перестати читати	Ошибка при попытке отписаться	Entfolgen fehlgeschlagen	언팔로우 실패		
unfollow_failed_formatted	Failed to unfollow user \@%s	Erreur lors du désabonnement à \@%s	Mislukt om gebruiker \@%s te ontvolgen	Fjernelse af følgningen for \@%s mislykkedes	No se pudo dejar de seguir al usuario \@%s	Помилка при спробі перестати читати користувача \@%s	Ошибка при попытке отписаться от пользователя \@%s	Entfolgen von Benutzer \@%s fehlgeschlagen	다음 사용자 언팔로우 실패: \@%s		
unfollow_success	Successfully unfollowed \@%s	Vous ne suivez plus \@%s	Succesvol \@%s ontvolgt	Du følger nu ikke længere \@%s	Ya no sigues a \@%s	Ви успішно відписалися від \@%s	Вы успешно отписались от \@%s	Erfolgreich \@%s entfolgt	다음 사용자 언팔로우 성공: \@%s		
unfollowing_user	Unfollowing user...	Ne plus suivre l\'utilisateur...	Ontvolgen gebruiker...	Unfollower bruger...	Dejando de seguir al usuario…	Відписуємся від користувача...	Отписываемся от пользователя...	Entfolge Benutzer...	언팔로우하는 중...		
unfound_user	Could not find user	Destinataire introuvable	Kon gebruiker niet vinden	Kunne ikke finde bruger	No se pudo encontrar al usuario	Неможливо знайти користувача	Невозможно найти пользователя	Konnte Benutzer nicht finden	사용자를 찾을 수 없음		
unified_desc	Include my mentions in timeline stream	Inclure les mentions dans la timeline	Toon mijn antwoorden in de tijdlijn	Inkludér mine mentions i timeline stream	Incluir mis menciones en el timeline	Включити мої згадки в стрічку	Включить мои упоминания в ленту	Meine Erwähnungen in die Timeline einbinden	타임라인에 내 멘션이 포함됩니다		
unmute	Unmute	Débloquer	Ontdemp	Unmute	Dejar de silenciar	Не ігнорувати	Не игнорировать	Unmute	뮤트 해제		
unmute_failed	Failed to unmute user	Erreur lors de la requête	Ontdempten gebruiker mislukt	Unmute af bruger mislykkedes	No se pudo dejar de silenciar al usuario	Помилка при видаленні зі списку ігнорованих	Ошибка при удалении из списка игнорируемых	Entstummung fehlgeschlagen	뮤트 해제 실패		
unmute_failed_formatted	Failed to unmute user \@%s	Erreur lors du bloquage de \@%s	Mislukt om gebruiker \@%s te ontdempen	Unmute af bruger \@%s mislykkedes	No se pudo dejar de silenciar al usuario \@%s	Помилка при видаленні зі списку ігнорованих \@%s	Ошибка при удалении из списка игнорируемых  \@%s	Entstummung von Benutzer \@%s fehlgeschlagen	다음 사용자 뮤트 해제 실패: \@%s		
unmute_hashtag	Unmute hashtag	Débloquer le hashtag	Ontdemp hashtag	Unmute hashtag	Dejar de silenciar hashtag	Не ігнорувати тег	Не игнорировать тег	Hashtag unmuten	해시태그 뮤트 해제		
unmute_thread	Unmute Thread	Débloquer la conversation	Ontdemp Draad	Unmute tråd	Dejar de silenciar hilo	Не ігнорувати обговорення	Не игнорировать обсуждение	Unmute Unterhaltung	스레드 뮤트 해제		
unsave	Unsave	Enlever de la liste de sauvegarde	Ont opslaan	Fortryd gemning	Eliminar	Видалити	Удалить	Entfernen	저장 취소		
unsave_hashtag	Unsave hashtag	Se désabonner du hashtag	Verwijder hashtag	Fortryd gemning af hashtag	Eliminar hashtag	Видалити тег	Удалить тег	Hashtag entfernen	해시태그 저장 취소		
unstar_failure	Failed to unstar post	Erreur lors de la suppression du favoris	Gefaald om een post te demarkeren	Unstar post mislykkedes	No se pudo dejar de destacar el post	Не вдалося видалити запис з обраного	Не удалось удалить запись из избранного	Konnte Markierung nicht entfernen	별표 취소 실패		
unsubscribe	Unsubscribe	Se désabonner	Hef abonnement op	Ophæv abonnementet	Anular suscripción	Відписатися	Отписаться	Nicht mehr abonnieren	구독 취소		
update	Update	Mise à jour	Update profiel	Opdatér	Actualizar	Оновити	Обновить	Aktualisieren	판올림	Päivitä	
update_failed	There was a problem downloading the update.	Une erreur est survenue lors de la mise à jour	Er was een probleem tijdens het downloaden van de update.	Der opstod en fejl ved download af opdateringen.	No se ha podido descargar la actualización correctamente.	Під час завантаження оновлення сталася помилка.	Во время загрузки обновления произошла ошибка.	Es gab ein Problem beim Downloaden des Updates	판올림 정보를 내려받지 못했습니다.		
update_message_long	There is a new update (%s) available	Une nouvelle mise à jour (%s) est disponible	Er is een nieuwe update (%s) beschikbaar	Der er en ny opdatering (%s) tilgængelig	Hay una actualización nueva (%s) disponible	Доступно оновлення (%s)	Доступно новое обновление (%s)	Es ist ein neues Update (%s) verfügbar	새 판(%s)이 존재합니다.		
update_profile	Update profile	Mettre à jour le profil	Pas profiel aan	Opdatér profil	Perfil actualizado	Оновити профіль	Обновить профиль	Profil aktualisieren	프로필 정보 변경	Päivitä profiili	
update_profile_desc	Ability to update your profile information	Capacité de mettre à jour les informations de votre profil	Mogelijkheid om je profiel informatie te updaten	Mulighed for at opdatere din profil information	Actualiza la información de tu perfil	Можливість зміни інформації у вашому профілі	Возможность изменения информации в вашем профиле	Möglichkeit, das eigene Profil zu aktualisieren	프로필 정보를 바꿀 권한		
updating_profile	Updating profile&#8230;	Mise à jour du profil&#8230;	Aanpassen profiel&#8230;	Opdaterer profil&#8230;	Actualizando perfil&#8230;	Оновлення профілю&#8230;	Обновление профиля&#8230;	Profil aktualisieren ...	프로필 정보 바꾸는 중...		
upload_failed	There was a problem uploading the image	Une erreur est survenue lors de l\'upload de l\'image	Er was een probleem met het uploaden van het plaatje	Der opstod et problem ved upload af billedet	Hubo un problema subiendo la imagen	При завантаженні зображення сталася помилка	При загрузке изображения произошла ошибка	Es gab ein Problem beim Hochladen des Bildes	사진을 올리지 못했습니다.		
upload_image_fail	Uploading image failed	Erreur lors de l\'upload de l\'image	Uploaden foto mislukt	Upload af billede mislykkedes	La subida de la imagen ha fallado	Завантаження зображення не вдалося	Загрузка изображения не удалась	Bild hochladen gescheitert	사진 올리기 실패		
uploading	Uploading	Upload en cours	Uploading	Uploader	Subiendo	Завантаження	Загрузка	Lade hoch	올리는 중		
uploading_avatar	Uploading avatar	Upload de l\'avatar	Uploading avatar	Uploader avatar	Subiendo imagen de perfil	Завантаження аватара	Загрузка аватара	Lade avatar hoch	프로필 사진 올리는 중		
uploading_cover	Uploading cover	Upload de la couverture en cours	Uploading cover	Uploader cover	Subiendo portada	Завантаження обкладинки	Загрузка обложки	Lade cover hoch	커버 사진 올리는 중		
uploading_image	Uploading image&#8230;	Upload de l\'image en cours&#8230;	Uploaden foto&#8230;	Uploader billede&#8230;	Subiendo imagen&#8230;	Завантаження зображення&#8230;	Загрузка изображения&#8230;	Bild wird hochgeladen...	사진 올리는 중...		
uploading_image_title	Uploading image	Image en cours de chargement	Uploaden foto	Uploader billede	Subiendo imagen	Завантаження зображення	Загрузка изображения	Bild wird hochgeladen	사진 올리는 중		
use_unified	Use unified stream	Utiliser les flux unifiés	Gebruik eendrachtige stream	Benyt fælles stream	Usar un stream unificado	Використовувати єдиний поток	Использовать единый поток	Zusammengefassten Stream verwenden	통합 글흐름		
user_blocked	User successfully blocked	Utilisateur bloqué	Gebruiker succesvol geblokkeerd	Bruger blev succesfuldt blokeret	Se ha bloqueado al usuario	Користувач успішно заблокований	Пользователь успешно заблокирован	Benutzer erfolgreich blockiert	차단했습니다.		
user_fail	Unable to retrieve user	Impossible d\'obtenir l\'utilisateur	Niet in staat om gebruiker op te halen	Det var ikke muligt at hente brugeren	No se pudo cargar el usuario	Неможливо отримати користувача	Невозможно получить пользователя	Kann Benutzer nicht aufrufen	사용자를 찾을 수 없습니다		
user_muted	User successfully muted	Utilisateur muté	Gebruiker succesvol gemute	Bruger blev succesfuldt muted	Se ha silenciado al usuario	Тепер користувач ігнорується	Теперь пользователь игнорируется	Benutzer erfolgreich gemutet	뮤트했습니다		
user_stream_fail	Failed to load user %s	Erreur lors du chargement de l\'utilisateur %s	Niet gelukt om gebruiker %s te laden	Kunne ikke loade bruger %s	No se pudo cargar el usuario %s	Помилка при завантаженні користувача %s	Ошибка при загрузке пользователя %s	Konnte Benutzer %s nicht laden	%s 사용자를 불러오지 못했습니다.		
user_unblocked	User successfully unblocked	Utilisateur débloqué	Gebruiker succesvol gedeblokkeerd	Ophævelse af bruger-blokering var succesfuld	Se ha desbloqueado al usuario	Користувач успішно розблокован	Пользователь успешно разблокирован	Benutzer erfolgreich entblockt	차단을 취소했습니다		
user_unmuted	User successfully unmuted	Utilisateur dé-muté	Gebruiker succesvol ontmuted	Bruger blev succesfuldt unmuted	El usuario ya no está silenciado	Користувач більше не ігнорується	Пользователь больше не игнорируется	Benutzer erfolgreich entmutet	뮤트를 취소했습니다		
using_camera	Using camera	Appareil photo	Gebruik camera	Benytter kamera	Usando cámara	За допомогою камери	С помощью камеры	Mit der Kamera	사진 찍기		
vague_error	An error occured while processing your request.	Une erreur est survenue en procédant votre requête.	Er is een fout opgetreden tijdens je aanvraag.	En fejl opstod ved behandling af din anmodning	Ha ocurrido un error al procesar tu petición	Під час обробки вашого запиту сталася помилка.	Во время обработки вашего запроса произошла ошибка.	Ein Fehler ist aufgetreten, während deine Anfrage bearbeitet wurde.	어서 와 이런 에러는 처음이지?		
verified	Verified %s	%s vérifié	%s geverifieerd	Verificeret %s	%s - verificado	Перевірений %s	Проверенный %s	%s verizifizert	도메인 인증:		
version	Version	Version	Versie	Version	Versión	Версія	Версия	Version	버전 	Versio	
view_profile	View profile	Afficher le profil	Toon profiel	Vis profil	Ver perfil	Переглянути профіль	Посмотреть профиль	Profil anzeigen	프로필 보기	Näytä profiili	
web_readability_desc	Enable simple web viewing mode	Activer la fonction lecture web simplifiée	Activeer simpel web bekijken modus	Aktivér simpel web-visning mode	Habilita la vista de web sencilla	Увімкнути режим простого веб-перегляду	Включить режим простого веб-просмотра	Einfache Web-Ansicht erlauben	깔끔한 웹을 보는 가장 간단한 방법!		
web_readability_title	Web readability mode	Lecture web simplifiée	Web leesbaarheid modus	Web readbility mode	Modo de lectura de web	Режим зручного веб-перегляду	Режим удобного веб-просмотра	Web-Ansicht Modus	가독성 높은 웹 보기		
write_post	Write post	Ecrire un post	Schrijf post	Skriv post	Escribir post	Написати повідомлення	Написать сообщение	Beitrag schreiben	글 작성		
write_post_desc	Ability to write posts	Capacité à écrire des posts	Mogelijkheid om posts te schrijven	Mulighed for at skrive posts	Escribe un post	Можливість писати повідомлення	Возможность писать сообщения	Möglichkeit, einen beitrag zu schreiben	글을 작성할 권한		
write_your_bio	Please enter your bio	Entrer votre bio	Voer aub je bio in	Skriv venligst din bio	Por favor introduce tu bio	Розкажіть про себе	Расскажите о себе	Bitte gebe deine Bio ein	자기 소개를 입력해주세요		
write_your_name	Please enter your name	Entrer votre nom	Voer aub je naam in	Skriv venligst dit navn	Por favor introduce tu nombre	Введіть ваше ім\'я	Введите ваше имя	Bitte geben deinen Namen ein	이름을 입력해주세요		
yes	Yes	Oui	Ja	Ja	Sí	Так	Да	Ja	예	Kyllä	
